"marketingCost","zip"
"2.53","35236"
"2.63","35541"
"1.73","35542"
"3.92","35235"
"2.32","35232"
"12.59","33017"
"3.43","35546"
"3.43","35237"
"2.81","73461"
"3.41","73460"
"4.25","73463"
"2.35","60141"
"2.8","35234"
"3.35","47519"
"10.14","32238"
"3.71","54245"
"3.02","54162"
"1.29","38843"
"1.68","02860"
"18","77664"
"2.91","98849"
"2.02","40144"
"3.31","36607"
"3.28","07461"
"2.41","40146"
"2.67","07465"
"4.28","55344"
"2.28","54161"
"2.69","38844"
"5.49","32232"
"3.86","48892"
"13.04","96075"
"2.61","48890"
"3.57","48891"
"0.99","48897"
"2.58","48895"
"2.61","63751"
"2.67","59006"
"1.98","55615"
"3.56","42464"
"2.13","83545"
"3.09","99509"
"2.58","74018"
"1.64","83544"
"1.86","74015"
"2.95","74014"
"2.03","74017"
"11.35","32234"
"0.8","74011"
"3.38","74010"
"1.81","74013"
"5.86","74012"
"1.4","27370"
"0.8","27371"
"2.64","82225"
"1.88","37732"
"3.71","27374"
"1.4","27376"
"2.04","27377"
"2.52","27379"
"0.94","46135"
"2.71","46133"
"2.71","46131"
"2.37","46130"
"0.8","56121"
"8.01","75949"
"2.05","56123"
"1.01","83543"
"1.22","98648"
"2.45","61940"
"2.23","98310"
"2.98","98311"
"3.33","98312"
"18","75943"
"3.31","98642"
"2.28","98315"
"18","75946"
"1.91","29683"
"3.6","46156"
"1.76","47470"
"1.87","66080"
"3.39","28561"
"3.12","36703"
"3.18","36702"
"18","79235"
"10.42","32011"
"2.89","84639"
"4.81","19111"
"3.77","85045"
"1.26","06335"
"1.44","88022"
"3.18","88021"
"2.53","88020"
"3.06","97333"
"3.28","36616"
"2.78","97330"
"3.23","54547"
"2.71","88028"
"18","76664"
"3.72","49066"
"3.08","97339"
"2.27","97338"
"0.83","64676"
"0.8","64670"
"1.25","64671"
"2.49","64672"
"3.74","64673"
"2.38","53184"
"1.47","49061"
"1.22","63025"
"1.65","63026"
"1.44","63020"
"2.66","63021"
"3.8","54546"
"3.66","63023"
"2.48","52073"
"2.68","57477"
"2.12","63028"
"3.25","57471"
"3.34","09123"
"1.84","46793"
"2.59","46792"
"3.15","46797"
"2.56","61911"
"3.38","46795"
"2.01","46794"
"3.89","23227"
"2.79","46798"
"0.81","21613"
"3.18","84123"
"3.96","84120"
"2.77","84121"
"2.94","84124"
"1.09","84125"
"2.88","85352"
"2.7","84128"
"18","77336"
"2.47","64451"
"2.64","98290"
"1.74","41636"
"3.34","64456"
"18","96134"
"2.13","68778"
"3.02","42088"
"1.67","85613"
"2.86","54540"
"3.74","85610"
"0.8","85616"
"3.63","85615"
"3.81","85614"
"5.24","85618"
"3.81","49309"
"1.99","50219"
"3.08","06379"
"2.36","53187"
"1.5","58078"
"2.93","20015"
"2.23","58075"
"1.05","58074"
"18","91077"
"3.06","49302"
"2.17","49305"
"2.34","49304"
"2.25","49307"
"1.95","49306"
"1.24","38503"
"2.91","38502"
"2.66","38501"
"2.28","54169"
"2.76","38506"
"1.4","98862"
"4.13","52247"
"18","75050"
"18","75051"
"6.17","75056"
"18","75057"
"18","94159"
"3.01","70662"
"3.9","70663"
"1.52","70661"
"18","90640"
"3.3","70665"
"18","78057"
"0.8","75088"
"1.26","70669"
"2.75","84083"
"3.39","85066"
"2.5","52040"
"3.92","71282"
"2.47","14626"
"2.49","71280"
"3.09","14621"
"3.09","71284"
"2.01","71827"
"0.89","71822"
"2.51","82443"
"3.72","38646"
"18","76071"
"0.8","62881"
"1.97","38641"
"9.67","34609"
"2.47","38643"
"18","91715"
"2.06","58212"
"3.39","54962"
"2.56","62888"
"4.17","83276"
"2.73","30411"
"8.13","76629"
"3.74","30413"
"0.8","30415"
"3.36","30414"
"2.85","30417"
"13.24","95922"
"10.49","76621"
"18","76622"
"1.67","72102"
"18","76624"
"18","76626"
"1.54","66779"
"4.08","54170"
"1.48","54171"
"13.05","33852"
"8.71","33853"
"2.99","54174"
"1.29","54175"
"10.7","33856"
"1.58","54177"
"2.6","71751"
"13.08","33859"
"3.11","71753"
"2.61","49719"
"18","78666"
"18","78667"
"7.72","78664"
"3.71","33509"
"18","94541"
"18","94540"
"18","94543"
"11.76","94542"
"18","94545"
"18","94544"
"7.66","94547"
"18","94546"
"18","94549"
"18","94548"
"1.02","62086"
"1.83","41568"
"3.2","62082"
"2.81","87109"
"2.76","87108"
"3.31","99737"
"1.83","49715"
"1.19","72083"
"4.56","27572"
"1.17","27573"
"1.71","87103"
"2.55","65274"
"2.37","87105"
"2.93","87104"
"3.62","87107"
"2.34","87106"
"2.13","83619"
"1.92","40743"
"3.08","67109"
"2.42","67108"
"1.85","40962"
"2.4","46962"
"2.82","40744"
"2.08","29817"
"2.61","83610"
"0.95","83612"
"3.08","67107"
"2.96","29812"
"2.58","83617"
"2.4","29810"
"1.79","68825"
"5.4","37841"
"2.53","68826"
"2.43","29385"
"2.17","68823"
"0.8","68822"
"2.01","23507"
"1.61","29384"
"3.32","23503"
"11.55","34605"
"1.4","40328"
"18","76088"
"3.29","27619"
"18","76084"
"1.72","27616"
"3.47","27615"
"4.16","76087"
"2.6","27613"
"3.87","27612"
"18","76082"
"1.3","27610"
"1.13","37840"
"1.59","73065"
"0.91","59038"
"2.61","29388"
"0.9","59033"
"1.77","59030"
"0.8","59036"
"2.69","59037"
"3.22","59034"
"18","92714"
"2.54","30292"
"1.74","29108"
"18","77979"
"2.73","62075"
"18","78502"
"3.71","29432"
"3.1","29105"
"18","77976"
"2.64","37847"
"18","79535"
"18","76885"
"18","77659"
"17.71","79536"
"4.35","72703"
"1.37","72702"
"2.54","72701"
"18","79532"
"2.08","87579"
"3.33","35549"
"1.94","87571"
"2.38","46242"
"4.26","38449"
"2.2","87574"
"0.8","73522"
"16.15","92262"
"18","92263"
"8.07","92260"
"2.82","74016"
"15.62","95946"
"15.1","95947"
"8.76","92264"
"18","95945"
"4.32","36803"
"18","95948"
"16.61","95949"
"2.43","81042"
"1.53","66505"
"1.93","66507"
"2.91","66502"
"1.7","66503"
"3.56","27865"
"1.8","64018"
"2.4","66508"
"4.58","66509"
"4.03","55339"
"0.8","65081"
"3.22","65082"
"2.57","65084"
"2.64","54427"
"3.38","55331"
"0.89","55330"
"1.87","55333"
"2.34","55335"
"2.62","55334"
"0.88","55337"
"3.77","55336"
"3.07","27866"
"4.48","82223"
"18","95972"
"2.4","50677"
"3.06","50676"
"1.61","50675"
"1.94","60901"
"18","92088"
"3.16","50670"
"16.58","92086"
"12.04","77280"
"14.16","92084"
"18","92085"
"18","92082"
"18","92083"
"18","77287"
"2.08","74954"
"1.83","74955"
"2.19","66762"
"2.8","66763"
"1.33","74951"
"1.94","74953"
"2.38","74959"
"1.18","35143"
"4.32","87192"
"0.8","61231"
"3.71","61230"
"2.91","61235"
"3.12","61234"
"1.75","54960"
"2.86","65265"
"3.0","61239"
"2.37","61238"
"2.25","65260"
"18","90714"
"2.51","65262"
"3.94","65263"
"17.46","92886"
"17.16","92887"
"8.84","77027"
"0.8","73075"
"9.22","77021"
"18","77020"
"18","77023"
"4.12","73071"
"18","77029"
"17.75","77028"
"4.91","73078"
"2.97","22015"
"18","75948"
"4.11","31908"
"1.64","31909"
"4.32","56120"
"3.59","81503"
"2.58","31905"
"2.12","81501"
"3.48","31907"
"3.22","81506"
"4.76","31902"
"3.04","81504"
"10.5","32224"
"14.29","32225"
"14.07","32226"
"2.86","19707"
"11.36","32220"
"7.98","32221"
"3.73","32222"
"9.23","32223"
"2.66","19708"
"18","93130"
"1.8","74366"
"3.3","09777"
"3.31","98109"
"3.2","98108"
"1.98","98105"
"0.9","98104"
"2.98","98107"
"3.12","98106"
"3.28","98101"
"1.54","98103"
"2.51","98102"
"0.96","41828"
"3.47","56129"
"14.25","94309"
"1.59","80649"
"5.96","44484"
"12.34","75941"
"18","94303"
"16.81","94302"
"18","94301"
"4.12","41063"
"14.49","94306"
"16.16","94305"
"16.28","94304"
"15.77","94697"
"2.45","30517"
"3.31","84754"
"3.06","10467"
"18","90813"
"12.93","75944"
"16.2","90810"
"12.06","90815"
"17.54","90814"
"1.69","51106"
"2.59","51104"
"3.45","51105"
"0.8","51103"
"2.43","51101"
"0.97","99018"
"18","75947"
"2.22","63902"
"3.09","63901"
"1.76","99019"
"2.7","20886"
"2.14","52101"
"2.29","97459"
"2.73","20735"
"3.5","39641"
"3.15","97452"
"3.56","62501"
"1.09","97456"
"1.38","97457"
"2.04","97454"
"2.0","97455"
"0.86","64029"
"1.9","52213"
"3.44","73006"
"3.12","60018"
"1.67","60014"
"3.33","60015"
"4.04","60016"
"0.8","60010"
"2.29","64024"
"2.48","60012"
"0.8","60013"
"3.96","80104"
"18","76530"
"0.8","80106"
"1.98","80107"
"1.77","80102"
"3.5","80103"
"1.04","36303"
"3.76","36302"
"2.97","36301"
"18","75968"
"1.71","86406"
"1.39","36304"
"1.14","20744"
"2.14","46301"
"3.05","46303"
"4.6","46304"
"3.49","46307"
"16.41","34420"
"2.16","99013"
"2.68","05033"
"1.26","42330"
"1.92","42333"
"2.15","48229"
"1.85","48228"
"2.91","48225"
"2.39","48224"
"4.95","48227"
"3.0","48226"
"0.84","48221"
"1.0","48220"
"0.8","48223"
"2.16","29651"
"2.2","83860"
"3.14","83861"
"1.82","83867"
"2.0","99508"
"4.11","29650"
"3.07","99506"
"1.24","99507"
"2.56","99504"
"3.37","83869"
"2.59","99502"
"1.83","72675"
"0.8","99501"
"1.49","16936"
"14.9","92572"
"2.01","35114"
"6.97","34428"
"14.96","76527"
"18","91730"
"1.79","42159"
"2.21","51231"
"4.06","29657"
"1.13","54418"
"2.55","54416"
"2.28","54415"
"3.15","54414"
"4.08","54413"
"1.99","54412"
"3.03","54411"
"2.05","54410"
"4.25","70345"
"1.72","70344"
"2.59","48749"
"3.34","70346"
"3.16","19975"
"0.95","70343"
"4.9","70342"
"2.94","71218"
"2.96","59624"
"1.58","53138"
"6.34","79407"
"1.91","41175"
"2.99","29372"
"15.04","95161"
"18","78801"
"2.05","29376"
"3.58","29377"
"3.66","29374"
"2.67","29375"
"1.83","53504"
"2.68","53505"
"3.83","29378"
"2.81","53507"
"1.14","53502"
"2.75","53503"
"1.5","49796"
"4.19","49797"
"1.08","37306"
"1.63","37307"
"18","79403"
"3.38","80642"
"3.06","37303"
"2.72","73109"
"0.8","37308"
"1.54","37309"
"1.91","49799"
"1.89","73106"
"0.8","54485"
"18","77486"
"3.9","54909"
"2.19","73104"
"18","77383"
"3.63","83287"
"2.07","30628"
"18","77484"
"3.52","37078"
"3.92","63673"
"1.09","30622"
"3.3","30623"
"1.95","30620"
"2.47","31904"
"2.03","59486"
"2.01","30624"
"3.18","30625"
"2.73","80816"
"3.3","37076"
"2.8","80814"
"0.85","80813"
"2.04","80810"
"14.21","33024"
"3.33","86427"
"2.76","86426"
"7.07","33027"
"4.46","80819"
"3.04","37160"
"1.59","37162"
"10.03","33026"
"2.4","37166"
"2.02","37167"
"11.28","33021"
"3.25","68947"
"3.16","97499"
"3.27","36078"
"1.27","30518"
"2.81","37070"
"1.93","89451"
"2.05","68347"
"2.12","68340"
"2.01","47577"
"3.62","71346"
"2.87","89102"
"2.16","49221"
"1.42","29597"
"14.06","91617"
"2.48","29593"
"1.59","40223"
"2.55","29591"
"1.22","54119"
"3.71","40229"
"1.9","40228"
"3.2","29598"
"0.86","30519"
"18","78001"
"2.71","71279"
"2.46","70114"
"1.6","54721"
"2.86","54720"
"2.33","14526"
"3.64","28429"
"3.32","28428"
"3.33","28359"
"1.2","28358"
"3.09","28425"
"2.82","28356"
"7.73","33242"
"1.25","28353"
"1.04","28352"
"0.8","28423"
"1.43","28422"
"1.78","82937"
"2.06","72139"
"1.9","30337"
"1.95","30331"
"11.51","79708"
"16.33","78520"
"18","79706"
"6.26","79707"
"17.64","94954"
"18","79705"
"2.36","30338"
"2.48","30339"
"3.94","72136"
"18","79701"
"18","77568"
"5.57","44805"
"18","77853"
"3.35","46910"
"1.99","51033"
"3.79","73663"
"18","77561"
"1.38","73661"
"4.22","63935"
"3.24","73667"
"18","77565"
"18","77566"
"2.59","73664"
"18","77957"
"6.99","33338"
"3.74","70116"
"2.38","85539"
"4.04","65734"
"17.44","92356"
"2.72","71073"
"2.72","51037"
"2.74","55102"
"2.39","38366"
"0.8","72396"
"2.77","55101"
"5.76","55106"
"16.16","92606"
"2.68","55104"
"2.09","55105"
"18","77382"
"4.92","55108"
"0.8","55109"
"3.44","38369"
"2.92","38368"
"1.43","38052"
"2.36","73526"
"2.43","51038"
"18","91214"
"18","77855"
"0.98","52640"
"1.32","51039"
"2.74","35218"
"0.94","38057"
"2.44","52641"
"3.77","35214"
"2.27","35215"
"0.88","35216"
"3.65","35217"
"2.12","35210"
"2.3","35211"
"2.53","35212"
"3.08","35213"
"18","96080"
"1.62","47025"
"1.44","02124"
"18","96087"
"17.29","96084"
"14.82","96085"
"3.16","41554"
"0.8","61603"
"10.35","96088"
"18","96089"
"18","77856"
"2.66","52133"
"3.23","87901"
"0.8","50039"
"1.82","82422"
"1.85","40576"
"1.89","82426"
"3.72","44124"
"3.79","52131"
"2.3","38006"
"3.53","54221"
"2.52","97443"
"3.21","97442"
"0.8","31825"
"4.8","62512"
"1.74","50523"
"1.81","74039"
"1.09","74038"
"2.79","74033"
"2.39","74032"
"3.01","74030"
"2.88","74037"
"1.7","74036"
"0.8","74035"
"2.37","74034"
"2.98","98664"
"1.26","97130"
"2.93","97133"
"3.57","97132"
"3.39","98660"
"2.55","98661"
"2.1","98662"
"3.17","98663"
"2.51","97138"
"1.39","85532"
"1.28","98668"
"3.65","38004"
"2.29","49745"
"1.68","35804"
"1.88","73447"
"3.47","73446"
"2.87","73443"
"3.16","56458"
"2.18","65470"
"4.07","64058"
"3.82","35806"
"0.8","56450"
"1.16","56101"
"1.41","56452"
"2.55","96623"
"3.08","57279"
"1.59","57276"
"2.28","54624"
"2.32","57274"
"2.84","73527"
"3.8","57270"
"1.5","96629"
"13.22","32079"
"2.04","69150"
"12.09","32609"
"0.92","65690"
"2.84","65692"
"9.56","32071"
"11.14","32073"
"13.7","32072"
"3.34","55810"
"1.93","55811"
"3.74","55812"
"3.52","98592"
"0.91","98593"
"1.92","98590"
"3.78","60008"
"2.67","98596"
"4.03","98597"
"3.92","98595"
"2.66","88041"
"3.25","88043"
"1.42","88042"
"1.07","88045"
"2.58","54871"
"3.62","88047"
"2.11","88046"
"3.04","11724"
"4.47","67836"
"5.01","32603"
"3.17","13905"
"2.98","96348"
"2.7","31829"
"1.71","63042"
"3.42","63043"
"3.99","63040"
"18","79359"
"2.26","84631"
"3.4","63044"
"2.96","63045"
"7.28","32606"
"2.99","63048"
"3.42","63049"
"1.43","58463"
"3.53","49099"
"1.97","49098"
"2.47","49548"
"0.85","11229"
"4.03","67047"
"1.97","49091"
"2.85","49090"
"3.07","49093"
"4.06","36323"
"2.8","49095"
"1.17","49546"
"2.02","49097"
"3.07","49544"
"3.24","84108"
"2.78","84109"
"18","76631"
"3.46","72042"
"2.71","84102"
"1.93","84103"
"3.8","84104"
"3.2","84105"
"3.55","84106"
"3.26","84107"
"5.5","43140"
"18","79567"
"3.23","26041"
"3.84","37615"
"5.14","43148"
"2.13","49327"
"1.36","46514"
"2.71","49325"
"2.77","46516"
"1.55","49323"
"1.31","49894"
"1.65","49321"
"3.24","49320"
"4.01","58461"
"1.44","17070"
"2.16","49329"
"3.31","49328"
"3.41","98840"
"0.8","98841"
"1.63","58059"
"0.94","68112"
"18","75074"
"17.79","75075"
"4.59","68117"
"2.08","68116"
"1.96","98848"
"1.48","58052"
"2.3","80488"
"3.33","58054"
"2.05","60465"
"3.66","60464"
"2.94","60467"
"1.98","60466"
"2.68","60461"
"3.56","54229"
"1.62","60463"
"2.12","60462"
"4.68","38563"
"2.12","38562"
"3.83","60469"
"1.38","60468"
"3.33","38567"
"0.8","70648"
"1.7","52720"
"3.21","70643"
"18","90660"
"2.64","70645"
"2.58","70130"
"1.67","70131"
"4.6","58237"
"3.78","58235"
"0.8","58233"
"0.84","58230"
"18","96059"
"6.17","78390"
"2.97","38620"
"18","76825"
"3.12","62319"
"2.48","38627"
"0.8","64459"
"18","78691"
"2.89","62311"
"1.91","27102"
"2.14","30439"
"2.83","30436"
"0.8","30434"
"1.99","56514"
"1.65","50624"
"2.73","47336"
"2.22","47434"
"2.0","58384"
"3.84","71021"
"2.29","83455"
"2.46","83454"
"2.12","05734"
"10.85","33524"
"8.55","33525"
"6.26","33526"
"14.26","33527"
"5.61","33521"
"9.98","33523"
"2.59","27806"
"2.29","27807"
"3.36","27804"
"3.16","87124"
"2.52","87123"
"2.72","87122"
"1.99","87121"
"18","94568"
"13.1","94566"
"18","94565"
"16.56","94564"
"18","94563"
"18","91042"
"2.9","27808"
"2.41","48059"
"4.4","99712"
"2.4","99711"
"2.25","83634"
"2.74","83633"
"0.8","83632"
"1.51","99714"
"2.44","70310"
"2.68","05733"
"17.47","95821"
"2.4","21754"
"2.45","83639"
"2.45","83638"
"3.16","65535"
"4.19","40769"
"18","75061"
"2.49","08070"
"1.73","08071"
"1.24","29741"
"2.99","29745"
"3.38","08077"
"1.14","68803"
"3.95","41159"
"2.51","68801"
"3.73","02906"
"2.11","49893"
"2.0","47232"
"2.1","21755"
"1.2","42368"
"2.41","63353"
"2.02","47235"
"1.99","38241"
"1.91","59011"
"2.89","30291"
"2.58","97914"
"2.7","97913"
"3.46","30296"
"0.8","59540"
"1.61","30294"
"3.02","59018"
"1.98","59019"
"3.03","68004"
"2.7","29346"
"2.96","97918"
"2.03","29127"
"3.33","29126"
"1.9","29125"
"2.11","29123"
"2.65","47932"
"2.64","30056"
"0.92","39574"
"0.8","39577"
"2.66","39576"
"1.16","39571"
"2.81","38242"
"3.44","39573"
"3.36","29128"
"18","78640"
"18","78641"
"18","78642"
"18","78643"
"7.8","78644"
"18","78133"
"18","78130"
"18","78131"
"1.83","31210"
"2.49","31211"
"3.23","31744"
"0.8","31745"
"3.9","31742"
"2.17","31216"
"2.3","31217"
"18","76206"
"18","79512"
"18","79511"
"13.98","79510"
"17.81","76202"
"18","76203"
"18","76201"
"18","79519"
"2.03","64738"
"3.0","98385"
"18","76208"
"0.8","49301"
"3.34","98384"
"3.09","80834"
"18","95439"
"1.27","29003"
"1.56","58077"
"3.57","01844"
"18","75404"
"1.96","50471"
"14.69","95969"
"2.66","50472"
"2.18","50475"
"13.15","95219"
"18","92240"
"18","92241"
"17.06","92242"
"8.42","95215"
"11.69","95212"
"18","95965"
"6.43","95966"
"18","95967"
"2.37","46182"
"3.81","72021"
"18","90734"
"2.45","49512"
"18","95436"
"4.15","58072"
"3.31","64084"
"3.02","61039"
"1.72","61038"
"2.7","65068"
"3.06","54446"
"2.99","65066"
"3.67","65067"
"11.02","32324"
"1.81","61036"
"2.0","61031"
"18","75058"
"2.06","61032"
"1.3","80836"
"3.6","58540"
"3.22","37809"
"1.51","60928"
"2.54","61042"
"1.05","87120"
"3.35","29512"
"2.5","60922"
"2.31","60924"
"2.26","39466"
"3.25","52625"
"2.99","74932"
"3.74","28657"
"2.63","28654"
"2.37","28655"
"2.9","29510"
"1.66","28650"
"2.42","28651"
"1.36","29511"
"1.63","66783"
"2.75","28658"
"1.23","66781"
"2.17","61259"
"4.22","22031"
"2.13","22032"
"0.82","61251"
"1.61","65203"
"5.0","65201"
"3.62","61254"
"1.43","61256"
"18","77003"
"18","77002"
"17.58","77001"
"18","77007"
"18","77006"
"18","77005"
"13.26","77004"
"4.85","73054"
"3.36","73055"
"18","77009"
"15.75","77008"
"9.39","33537"
"3.75","73051"
"1.88","73052"
"1.25","73053"
"2.05","54441"
"1.32","54423"
"1.16","39464"
"2.77","56220"
"1.16","55317"
"3.45","55316"
"3.68","55315"
"11.46","32241"
"5.42","32246"
"5.65","32247"
"12.24","32244"
"12.57","32245"
"2.31","25177"
"14.02","93111"
"18","93110"
"18","93117"
"3.57","55319"
"2.61","55318"
"2.07","98439"
"4.06","52349"
"3.21","70664"
"2.65","97075"
